10ClassKind	10DepthInKind	icd10Code	icd10Chapter	icd10Title	ICD-11 FoundationURI	icd11Title	2024-Jan-21
Category	2	R76.1	XVIII	Abnormal reaction to tuberculin test	http://id.who.int/icd/entity/741356478	Abnormal reaction to tuberculin test	Equivalent	0
Category	2	R76.2	XVIII	False-positive serological test for syphilis	http://id.who.int/icd/entity/1486709569	False-positive serological test for syphilis	Equivalent	0
Category	2	R76.8	XVIII	Other specified abnormal immunological findings in serum	http://id.who.int/icd/entity/1885288190	Certain specified immunological findings	Subclass	-1
Category	2	R76.9	XVIII	Abnormal immunological finding in serum, unspecified	http://id.who.int/icd/entity/1885288190	Certain specified immunological findings	Subclass	-1
Category	1	R77	XVIII	Other abnormalities of plasma proteins	http://id.who.int/icd/entity/353696620	Certain abnormalities of plasma proteins	Equivalent	0
Category	2	R77.0	XVIII	Abnormality of albumin	http://id.who.int/icd/entity/1434662571	Abnormality of albumin	Equivalent	0
Category	2	R77.1	XVIII	Abnormality of globulin	http://id.who.int/icd/entity/818477887	Abnormality of globulin	Equivalent	0
Category	2	R77.2	XVIII	Abnormality of alphafetoprotein	http://id.who.int/icd/entity/1147513794	Abnormality of alphafetoprotein	Equivalent	0
Category	2	R77.8	XVIII	Other specified abnormalities of plasma proteins	http://id.who.int/icd/entity/353696620	Certain abnormalities of plasma proteins	Subclass	-1
Category	2	R77.9	XVIII	Abnormality of plasma protein, unspecified	http://id.who.int/icd/entity/353696620	Certain abnormalities of plasma proteins	Subclass	-1
Category	1	R78	XVIII	Findings of drugs and other substances, not normally found in blood	http://id.who.int/icd/entity/1617090159	Clinical findings in blood, blood-forming organs, or the immune system	Subclass	0
Category	2	R78.0	XVIII	Finding of alcohol in blood	http://id.who.int/icd/entity/453502231	Finding of alcohol in blood	Equivalent	0
Category	2	R78.1	XVIII	Finding of opiate drug in blood	http://id.who.int/icd/entity/2118920323	Finding of opiate drug in blood	Equivalent	0
Category	2	R78.2	XVIII	Finding of cocaine in blood	http://id.who.int/icd/entity/182548604	Finding of cocaine in blood	Equivalent	0
Category	2	R78.3	XVIII	Finding of hallucinogen in blood	http://id.who.int/icd/entity/1873458666	Finding of hallucinogen in blood	Equivalent	0
Category	2	R78.4	XVIII	Finding of other drugs of addictive potential in blood	http://id.who.int/icd/entity/474228350	Finding of other drugs of addictive potential in blood	Equivalent	0
Category	2	R78.5	XVIII	Finding of psychotropic drug in blood	http://id.who.int/icd/entity/2031086568	Finding of psychotropic drug in blood	Equivalent	0
Category	2	R78.6	XVIII	Finding of steroid agent in blood	http://id.who.int/icd/entity/228768535	Finding of steroid agent in blood	Equivalent	0
Category	2	R78.7	XVIII	Finding of abnormal level of heavy metals in blood	http://id.who.int/icd/entity/1760130691	Finding of abnormal level of heavy metals in blood	Equivalent	0
Category	2	R78.8	XVIII	Finding of other specified substances, not normally found in blood	http://id.who.int/icd/entity/1617090159	Clinical findings in blood, blood-forming organs, or the immune system	Subclass	-1
Category	2	R78.9	XVIII	Finding of unspecified substance, not normally found in blood	http://id.who.int/icd/entity/1617090159	Clinical findings in blood, blood-forming organs, or the immune system	Subclass	0
Category	1	R79	XVIII	Other abnormal findings of blood chemistry	http://id.who.int/icd/entity/739755954	Symptoms of blood, blood-forming organs, or the immune system	Equivalent	0
Category	2	R79.0	XVIII	Abnormal level of blood mineral	http://id.who.int/icd/entity/134163862	Abnormal level of blood mineral	Equivalent	0
Category	2	R79.8	XVIII	Other specified abnormal findings of blood chemistry	http://id.who.int/icd/entity/221651900	Certain clinical findings of blood chemistry	Subclass	0
Category	2	R79.9	XVIII	Abnormal finding of blood chemistry, unspecified	http://id.who.int/icd/entity/221651900	Certain clinical findings of blood chemistry	Subclass	0
Block	1	R80-R82	XVIII	Abnormal findings on examination of urine, without diagnosis	http://id.who.int/icd/entity/1948684645	Clinical findings on examination of urine, without diagnosis	Equivalent	0
Category	1	R80	XVIII	Isolated proteinuria	http://id.who.int/icd/entity/930895737	Proteinuria	Equivalent	0
Category	1	R81	XVIII	Glycosuria	http://id.who.int/icd/entity/1406987921	Glycosuria	Equivalent	0
Category	1	R82	XVIII	Other abnormal findings in urine	http://id.who.int/icd/entity/1948684645	Clinical findings on examination of urine, without diagnosis	Subclass	-1
Category	2	R82.0	XVIII	Chyluria	http://id.who.int/icd/entity/2095915189	Chyluria	Equivalent	0
Category	2	R82.1	XVIII	Myoglobinuria	http://id.who.int/icd/entity/430370081	Myoglobinuria	Equivalent	0
Category	2	R82.2	XVIII	Biliuria	http://id.who.int/icd/entity/1829486048	Bilirubinuria	Equivalent	0
Category	2	R82.3	XVIII	Haemoglobinuria	http://id.who.int/icd/entity/138440778	Haemoglobinuria	Equivalent	0
Category	2	R82.4	XVIII	Acetonuria	http://id.who.int/icd/entity/2075059166	Acetonuria	Equivalent	0
Category	2	R82.5	XVIII	Elevated urine levels of drugs, medicaments and biological substances	http://id.who.int/icd/entity/518336076	Elevated urine levels of drugs, medicaments and biological substances	Equivalent	0
Category	2	R82.6	XVIII	Abnormal urine levels of substances chiefly nonmedicinal as to source	http://id.who.int/icd/entity/1783135925	Abnormal urine levels of substances chiefly nonmedicinal as to source	Equivalent	0
Category	2	R82.7	XVIII	Abnormal findings on microbiological examination of urine	http://id.who.int/icd/entity/251900705	Abnormal findings on microbiological examination of urine	Equivalent	0
Category	2	R82.8	XVIII	Abnormal findings on cytological and histological examination of urine	http://id.who.int/icd/entity/1919592035	Abnormal findings on cytological and histological examination of urine	Equivalent	0
Category	2	R82.9	XVIII	Other and unspecified abnormal findings in urine	http://id.who.int/icd/entity/388066295	Other and unspecified abnormal findings in urine	Equivalent	0
Block	1	R83-R89	XVIII	Abnormal findings on examination of other body fluids, substances and tissues, without diagnosis	http://id.who.int/icd/entity/1843895818	Symptoms, signs or clinical findings, not elsewhere classified	Subclass	-1
Category	1	R83	XVIII	Abnormal findings in cerebrospinal fluid	http://id.who.int/icd/entity/1111127034	Clinical findings in cerebrospinal fluid	Equivalent	0
Category	2	R83.0	XVIII	Abnormal findings in cerebrospinal fluid : abnormal level of enzymes	http://id.who.int/icd/entity/1612048438	Abnormal level of enzymes in cerebrospinal fluid	Equivalent	0
Category	2	R83.1	XVIII	Abnormal findings in cerebrospinal fluid : abnormal level of hormones	http://id.who.int/icd/entity/90056096	Abnormal level of hormones in cerebrospinal fluid	Equivalent	0
Category	2	R83.2	XVIII	Abnormal findings in cerebrospinal fluid : abnormal level of other drugs, medicaments and biological substances	http://id.who.int/icd/entity/1911780703	Abnormal level of drugs, medicaments and biological substances in cerebrospinal fluid	Equivalent	0
Category	2	R83.3	XVIII	Abnormal findings in cerebrospinal fluid : abnormal level of substances chiefly nonmedicinal as to source	http://id.who.int/icd/entity/347650251	Abnormal level of substances chiefly nonmedicinal as to source in cerebrospinal fluid	Equivalent	0
Category	2	R83.4	XVIII	Abnormal findings in cerebrospinal fluid : abnormal immunological findings	http://id.who.int/icd/entity/1733700447	Abnormal immunological findings in cerebrospinal fluid	Equivalent	0
Category	2	R83.5	XVIII	Abnormal findings in cerebrospinal fluid : abnormal microbiological findings	http://id.who.int/icd/entity/35514059	Abnormal microbiological findings in cerebrospinal fluid	Equivalent	0
Category	2	R83.6	XVIII	Abnormal findings in cerebrospinal fluid : abnormal cytological findings	http://id.who.int/icd/entity/1991292468	Abnormal cytological findings in cerebrospinal fluid	Equivalent	0
Category	2	R83.7	XVIII	Abnormal findings in cerebrospinal fluid : abnormal histological findings	http://id.who.int/icd/entity/335248290	Abnormal histological findings in cerebrospinal fluid	Equivalent	0
Category	2	R83.8	XVIII	Abnormal findings in cerebrospinal fluid : other abnormal findings	http://id.who.int/icd/entity/1855090404	Other abnormal findings in cerebrospinal fluid	Equivalent	0
Category	2	R83.9	XVIII	Abnormal findings in cerebrospinal fluid : unspecified abnormal finding	http://id.who.int/icd/entity/1111127034	Clinical findings in cerebrospinal fluid	Subclass	-2
Category	1	R84	XVIII	Abnormal findings in specimens from respiratory organs and thorax	http://id.who.int/icd/entity/836034670	Clinical findings in specimens from respiratory organs and thorax	Equivalent	0
Category	2	R84.0	XVIII	Abnormal findings in specimens from respiratory organs and thorax : abnormal level of enzymes	http://id.who.int/icd/entity/1533843828	Abnormal level of enzymes in specimens from respiratory organs and thorax	Equivalent	0
Category	2	R84.1	XVIII	Abnormal findings in specimens from respiratory organs and thorax : abnormal level of hormones	http://id.who.int/icd/entity/1042765026	Abnormal level of hormones in specimens from respiratory organs and thorax	Equivalent	0
Category	2	R84.2	XVIII	Abnormal findings in specimens from respiratory organs and thorax : abnormal level of other drugs, medicaments and biological substances	http://id.who.int/icd/entity/1250559007	Abnormal level of drugs, medicaments and biological substances in specimens from respiratory organs and thorax	Equivalent	0
Category	2	R84.3	XVIII	Abnormal findings in specimens from respiratory organs and thorax : abnormal level of substances chiefly nonmedicinal as to source	http://id.who.int/icd/entity/801229195	Abnormal level of substances chiefly nonmedicinal as to source in specimens from respiratory organs and thorax	Equivalent	0
Category	2	R84.4	XVIII	Abnormal findings in specimens from respiratory organs and thorax : abnormal immunological findings	http://id.who.int/icd/entity/1546607135	Abnormal immunological findings in specimens from respiratory organs and thorax	Equivalent	0
Category	2	R84.5	XVIII	Abnormal findings in specimens from respiratory organs and thorax : abnormal microbiological findings	http://id.who.int/icd/entity/962893707	Abnormal microbiological findings in specimens from respiratory organs and thorax	Equivalent	0
Category	2	R84.6	XVIII	Abnormal findings in specimens from respiratory organs and thorax : abnormal cytological findings	http://id.who.int/icd/entity/1305069430	Abnormal cytological findings in specimens from respiratory organs and thorax	Equivalent	0
Category	2	R84.7	XVIII	Abnormal findings in specimens from respiratory organs and thorax : abnormal histological findings	http://id.who.int/icd/entity/679611104	Abnormal histological findings in specimens from respiratory organs and thorax	Equivalent	0
Category	2	R84.8	XVIII	Abnormal findings in specimens from respiratory organs and thorax : other abnormal findings	http://id.who.int/icd/entity/836034670	Clinical findings in specimens from respiratory organs and thorax	Subclass	-1
Category	2	R84.9	XVIII	Abnormal findings in specimens from respiratory organs and thorax : unspecified abnormal finding	http://id.who.int/icd/entity/836034670	Clinical findings in specimens from respiratory organs and thorax	Subclass	-1
Category	1	R85	XVIII	Abnormal findings in specimens from digestive organs and abdominal cavity	http://id.who.int/icd/entity/1419718140	Clinical findings in specimens from digestive organs or abdominal cavity	Equivalent	0
Category	2	R85.0	XVIII	Abnormal findings in specimens from digestive organs and abdominal cavity : abnormal level of enzymes	http://id.who.int/icd/entity/1200902645	Abnormal level of enzymes in specimens from digestive organs or abdominal cavity	Equivalent	0
Category	2	R85.1	XVIII	Abnormal findings in specimens from digestive organs and abdominal cavity : abnormal level of hormones	http://id.who.int/icd/entity/585079905	Abnormal level of hormones in specimens from digestive organs or abdominal cavity	Equivalent	0
Category	2	R85.2	XVIII	Abnormal findings in specimens from digestive organs and abdominal cavity : abnormal level of other drugs, medicaments and biological substances	http://id.who.int/icd/entity/1450364062	Abnormal level of drugs, medicaments or biological substances in specimens from digestive organs of abdominal cavity	Equivalent	0
Category	2	R85.3	XVIII	Abnormal findings in specimens from digestive organs and abdominal cavity : abnormal level of substances chiefly nonmedicinal as to source	http://id.who.int/icd/entity/859373836	Abnormal level of substances chiefly nonmedicinal as to source in specimens from digestive organs and abdominal cavity	Equivalent	0
Category	2	R85.4	XVIII	Abnormal findings in specimens from digestive organs and abdominal cavity : abnormal immunological findings	http://id.who.int/icd/entity/1087869600	Abnormal immunological findings in specimens from digestive organs and abdominal cavity	Equivalent	0
Category	2	R85.5	XVIII	Abnormal findings in specimens from digestive organs and abdominal cavity : abnormal microbiological findings	http://id.who.int/icd/entity/631004938	Abnormal microbiological findings in specimens from digestive organs and abdominal cavity	Equivalent	0
Category	2	R85.6	XVIII	Abnormal findings in specimens from digestive organs and abdominal cavity : abnormal cytological findings	http://id.who.int/icd/entity/1362169845	Abnormal cytological findings in specimens from digestive organs and abdominal cavity	Equivalent	0
Category	2	R85.7	XVIII	Abnormal findings in specimens from digestive organs and abdominal cavity : abnormal histological findings	http://id.who.int/icd/entity/880460385	Abnormal histological findings in specimens from digestive organs and abdominal cavity	Equivalent	0
Category	2	R85.8	XVIII	Abnormal findings in specimens from digestive organs and abdominal cavity : other abnormal findings	http://id.who.int/icd/entity/1419718140	Clinical findings in specimens from digestive organs or abdominal cavity	Subclass	-1
Category	2	R85.9	XVIII	Abnormal findings in specimens from digestive organs and abdominal cavity : unspecified abnormal finding	http://id.who.int/icd/entity/1419718140	Clinical findings in specimens from digestive organs or abdominal cavity	Subclass	-1
Category	1	R86	XVIII	Abnormal findings in specimens from male genital organs	http://id.who.int/icd/entity/540179717	Clinical findings in specimens from male genital organs	Equivalent	0
Category	2	R86.0	XVIII	Abnormal findings in specimens from male genital organs : abnormal level of enzymes	http://id.who.int/icd/entity/1175712203	Abnormal level of enzymes in specimens from male genital organs	Equivalent	0
Category	2	R86.1	XVIII	Abnormal findings in specimens from male genital organs : abnormal level of hormones	http://id.who.int/icd/entity/592985183	Abnormal level of hormones in specimens from male genital organs	Equivalent	0
Category	2	R86.2	XVIII	Abnormal findings in specimens from male genital organs : abnormal level of other drugs, medicaments and biological substances	http://id.who.int/icd/entity/1475701922	Abnormal level of drugs, medicaments and biological substances in specimens from male genital organs	Equivalent	0
Category	2	R86.3	XVIII	Abnormal findings in specimens from male genital organs : abnormal level of substances chiefly nonmedicinal as to source	http://id.who.int/icd/entity/851353908	Abnormal level of substances chiefly nonmedicinal as to source in specimens from male genital organs	Equivalent	0
Category	2	R86.4	XVIII	Abnormal findings in specimens from male genital organs : abnormal immunological findings	http://id.who.int/icd/entity/1095774880	Abnormal immunological findings in specimens from male genital organs	Equivalent	0
Category	2	R86.5	XVIII	Abnormal findings in specimens from male genital organs : abnormal microbiological findings	http://id.who.int/icd/entity/605814582	Abnormal microbiological findings in specimens from male genital organs	Equivalent	0
Category	2	R86.6	XVIII	Abnormal findings in specimens from male genital organs : abnormal cytological findings	http://id.who.int/icd/entity/1354149835	Abnormal cytological findings in specimens from male genital organs	Equivalent	0
Category	2	R86.7	XVIII	Abnormal findings in specimens from male genital organs : abnormal histological findings	http://id.who.int/icd/entity/905798239	Abnormal histological findings in specimens from male genital organs	Equivalent	0
Category	2	R86.8	XVIII	Abnormal findings in specimens from male genital organs : other abnormal findings	http://id.who.int/icd/entity/540179717	Clinical findings in specimens from male genital organs	Subclass	-1
Category	2	R86.9	XVIII	Abnormal findings in specimens from male genital organs : unspecified abnormal finding	http://id.who.int/icd/entity/540179717	Clinical findings in specimens from male genital organs	Subclass	-1
Category	1	R87	XVIII	Abnormal findings in specimens from female genital organs	http://id.who.int/icd/entity/1165602961	Clinical findings in specimens from female genital organs	Equivalent	0
Category	2	R87.0	XVIII	Abnormal findings in specimens from female genital organs : abnormal level of enzymes	http://id.who.int/icd/entity/1525365068	Abnormal level of enzymes in specimens from female genital organs	Equivalent	0
Category	2	R87.1	XVIII	Abnormal findings in specimens from female genital organs : abnormal level of hormones	http://id.who.int/icd/entity/1067513054	Abnormal level of hormones in specimens from female genital organs	Equivalent	0
Category	2	R87.2	XVIII	Abnormal findings in specimens from female genital organs : abnormal level of other drugs, medicaments and biological substances	http://id.who.int/icd/entity/1259185185	Abnormal level of drugs, medicaments and biological substances in specimens from female genital organs	Equivalent	0
Category	2	R87.3	XVIII	Abnormal findings in specimens from female genital organs : abnormal level of substances chiefly nonmedicinal as to source	http://id.who.int/icd/entity/776366517	Abnormal level of substances chiefly nonmedicinal as to source in specimens from female genital organs	Equivalent	0
Category	2	R87.4	XVIII	Abnormal findings in specimens from female genital organs : abnormal immunological findings	http://id.who.int/icd/entity/1571355169	Abnormal immunological findings in specimens from female genital organs	Equivalent	0
Category	2	R87.5	XVIII	Abnormal findings in specimens from female genital organs : abnormal microbiological findings	http://id.who.int/icd/entity/954415029	Abnormal microbiological findings in specimens from female genital organs	Equivalent	0
Category	2	R87.6	XVIII	Abnormal findings in specimens from female genital organs : abnormal cytological findings	http://id.who.int/icd/entity/1280206666	Abnormal cytological findings in specimens from female genital organs	Equivalent	0
Category	2	R87.7	XVIII	Abnormal findings in specimens from female genital organs : abnormal histological findings	http://id.who.int/icd/entity/688237280	Abnormal histological findings in specimens from female genital organs	Equivalent	0
Category	2	R87.8	XVIII	Abnormal findings in specimens from female genital organs : other abnormal findings	http://id.who.int/icd/entity/1165602961	Clinical findings in specimens from female genital organs	Subclass	-1
Category	2	R87.9	XVIII	Abnormal findings in specimens from female genital organs : unspecified abnormal finding	http://id.who.int/icd/entity/1165602961	Clinical findings in specimens from female genital organs	Subclass	-1
Category	1	R89	XVIII	Abnormal findings in specimens from other organs, systems and tissues	http://id.who.int/icd/entity/1566271559	Clinical findings in specimens from other specified organs, systems and tissues	Subclass	-1
Category	2	R89.0	XVIII	Abnormal findings in specimens from other organs, systems and tissues : abnormal level of enzymes	http://id.who.int/icd/entity/144122487	Abnormal level of enzymes in specimens from other organs, systems and tissues	Equivalent	0
Category	2	R89.1	XVIII	Abnormal findings in specimens from other organs, systems and tissues : abnormal level of hormones	http://id.who.int/icd/entity/1843195875	Abnormal level of hormones in specimens from other organs, systems and tissues	Equivalent	0
Category	2	R89.2	XVIII	Abnormal findings in specimens from other organs, systems and tissues : abnormal level of other drugs, medicaments and biological substances	http://id.who.int/icd/entity/426884892	Abnormal level of drugs, medicaments and biological substances in specimens from other organs, systems and tissues	Equivalent	0
Category	2	R89.3	XVIII	Abnormal findings in specimens from other organs, systems and tissues : abnormal level of substances chiefly nonmedicinal as to source	http://id.who.int/icd/entity/2084205194	Abnormal level of substances chiefly nonmedicinal as to source in specimens from other organs, systems and tissues	Equivalent	0
Category	2	R89.4	XVIII	Abnormal findings in specimens from other organs, systems and tissues : abnormal immunological findings	http://id.who.int/icd/entity/265609502	Abnormal immunological findings in specimens from other organs, systems and tissues	Equivalent	0
Category	2	R89.5	XVIII	Abnormal findings in specimens from other organs, systems and tissues : abnormal microbiological findings	http://id.who.int/icd/entity/1788816520	Abnormal microbiological findings in specimens from other organs, systems and tissues	Equivalent	0
Category	2	R89.6	XVIII	Abnormal findings in specimens from other organs, systems and tissues : abnormal cytological findings	http://id.who.int/icd/entity/506625143	Abnormal cytological findings in specimens from other organs, systems and tissues	Equivalent	0
Category	2	R89.7	XVIII	Abnormal findings in specimens from other organs, systems and tissues : abnormal histological findings	http://id.who.int/icd/entity/2071572963	Abnormal histological findings in specimens from other organs, systems and tissues	Equivalent	0
Category	2	R89.8	XVIII	Abnormal findings in specimens from other organs, systems and tissues : other abnormal findings	http://id.who.int/icd/entity/1566271559	Clinical findings in specimens from other specified organs, systems and tissues	Subclass	0
Category	2	R89.9	XVIII	Abnormal findings in specimens from other organs, systems and tissues : unspecified abnormal finding	http://id.who.int/icd/entity/1566271559	Clinical findings in specimens from other specified organs, systems and tissues	Subclass	0
Block	1	R90-R94	XVIII	Abnormal findings on diagnostic imaging and in function studies, without diagnosis	http://id.who.int/icd/entity/1843895818	Symptoms, signs or clinical findings, not elsewhere classified	Subclass	-1
Category	1	R90	XVIII	Abnormal findings on diagnostic imaging of central nervous system	http://id.who.int/icd/entity/1632791324	Clinical findings on diagnostic imaging of central nervous system	Equivalent	0
Category	2	R90.0	XVIII	Intracranial space-occupying lesion	http://id.who.int/icd/entity/1904765755	Intracranial space-occupying lesion	Equivalent	0
Category	2	R90.8	XVIII	Other abnormal findings on diagnostic imaging of central nervous system	http://id.who.int/icd/entity/1632791324	Clinical findings on diagnostic imaging of central nervous system	Subclass	-1
Category	1	R91	XVIII	Abnormal findings on diagnostic imaging of lung	http://id.who.int/icd/entity/68789898	Clinical findings on diagnostic imaging of lung	Equivalent	0
Category	1	R92	XVIII	Abnormal findings on diagnostic imaging of breast	http://id.who.int/icd/entity/1890907767	Clinical findings on diagnostic imaging of breast	Equivalent	0
Category	1	R93	XVIII	Abnormal findings on diagnostic imaging of other body structures	http://id.who.int/icd/entity/1843895818	Symptoms, signs or clinical findings, not elsewhere classified	Subclass	-1
Category	2	R93.0	XVIII	Abnormal findings on diagnostic imaging of skull and head, not elsewhere classified	http://id.who.int/icd/entity/1880083205	Clinical findings on diagnostic imaging of skull and head	Equivalent	0
Category	2	R93.1	XVIII	Abnormal findings on diagnostic imaging of heart and coronary circulation	http://id.who.int/icd/entity/356779665	Clinical findings on diagnostic imaging of heart or coronary circulation	Equivalent	0
Category	2	R93.2	XVIII	Abnormal findings on diagnostic imaging of liver and biliary tract	http://id.who.int/icd/entity/1642681966	Clinical findings on diagnostic imaging of liver or biliary tract	Equivalent	0
Category	2	R93.3	XVIII	Abnormal findings on diagnostic imaging of other parts of digestive tract	http://id.who.int/icd/entity/77765628	Clinical findings on diagnostic imaging of digestive tract	Equivalent	0
Category	2	R93.4	XVIII	Abnormal findings on diagnostic imaging of urinary organs	http://id.who.int/icd/entity/2001471600	Clinical findings on diagnostic imaging of urinary organs	Equivalent	0
Category	2	R93.5	XVIII	Abnormal findings on diagnostic imaging of other abdominal regions, including retroperitoneum	http://id.who.int/icd/entity/302499322	Clinical findings on diagnostic imaging of other abdominal regions, including retroperitoneum	Equivalent	0
Category	2	R93.6	XVIII	Abnormal findings on diagnostic imaging of limbs	http://id.who.int/icd/entity/1722455301	Clinical findings on diagnostic imaging of limbs	Equivalent	0
Category	2	R93.7	XVIII	Abnormal findings on diagnostic imaging of other parts of musculoskeletal system	http://id.who.int/icd/entity/65099921	Clinical findings on diagnostic imaging of other parts of musculoskeletal system	Equivalent	0
Category	2	R93.8	XVIII	Abnormal findings on diagnostic imaging of other specified body structures	http://id.who.int/icd/entity/509543139	General symptoms, signs or clinical findings	Subclass	0
Category	1	R94	XVIII	Abnormal results of function studies	http://id.who.int/icd/entity/1843895818	Symptoms, signs or clinical findings, not elsewhere classified	Subclass	-1
Category	2	R94.0	XVIII	Abnormal results of function studies of central nervous system	http://id.who.int/icd/entity/1266072133	Abnormal results of function studies of central nervous system	Equivalent	0
Category	2	R94.1	XVIII	Abnormal results of function studies of peripheral nervous system and special senses	http://id.who.int/icd/entity/893837861	Impairment of electrophysiological functions	Equivalent	0
Category	2	R94.2	XVIII	Abnormal results of pulmonary function studies	http://id.who.int/icd/entity/1519396656	Abnormal results of pulmonary function studies	Equivalent	0
Category	2	R94.3	XVIII	Abnormal results of cardiovascular function studies	http://id.who.int/icd/entity/1071377082	Results of function studies of the circulatory system	Equivalent	0
Category	2	R94.4	XVIII	Abnormal results of kidney function studies	http://id.who.int/icd/entity/1278572846	Results of kidney function studies	Equivalent	0
Category	2	R94.5	XVIII	Abnormal results of liver function studies	http://id.who.int/icd/entity/696169660	Abnormal results of liver function studies	Equivalent	0
Category	2	R94.6	XVIII	Abnormal results of thyroid function studies	http://id.who.int/icd/entity/1574167621	Abnormal results of thyroid function studies	Equivalent	0
Category	2	R94.7	XVIII	Abnormal results of other endocrine function studies	http://id.who.int/icd/entity/949496273	Abnormal results of other endocrine function studies	Equivalent	0
Category	2	R94.8	XVIII	Abnormal results of function studies of other organs and systems	http://id.who.int/icd/entity/1173437587	Abnormal results of function studies of other organs and systems	Equivalent	0
Block	1	R95-R99	XVIII	Ill-defined and unknown causes of mortality	http://id.who.int/icd/entity/1452443292	Ill-defined and unknown causes of mortality	Equivalent	0
Category	1	R95	XVIII	Sudden infant death syndrome	http://id.who.int/icd/entity/56255971	Sudden infant death syndrome	Equivalent	0
Category	2	R95.0	XVIII	Sudden infant death syndrome with mention of autopsy	http://id.who.int/icd/entity/1908408156	Sudden infant death syndrome with mention of autopsy	Equivalent	0
Category	2	R95.9	XVIII	Sudden infant death syndrome without mention of autopsy	http://id.who.int/icd/entity/1729798490	Sudden infant death syndrome without autopsy	Equivalent	0
Category	1	R96	XVIII	Other sudden death, cause unknown	http://id.who.int/icd/entity/2012689694	Other sudden death, cause unknown	Equivalent	0
Category	2	R96.0	XVIII	Instantaneous death	http://id.who.int/icd/entity/1443484410	Instantaneous death	Equivalent	0
Category	2	R96.1	XVIII	Death occurring less than 24 hours from onset of symptoms, not otherwise explained	http://id.who.int/icd/entity/859971440	Death occurring less than 24 hours from onset of symptoms, not otherwise explained	Equivalent	0
Category	1	R98	XVIII	Unattended death	http://id.who.int/icd/entity/1876291018	Unattended death	Equivalent	0
Category	1	R99	XVIII	Other ill-defined and unspecified causes of mortality	http://id.who.int/icd/entity/178135136	Other ill-defined and unspecified causes of mortality	Equivalent	0
Chapter	1	XIX	XIX	Injury, poisoning and certain other consequences of external causes	http://id.who.int/icd/entity/435227771	Injury, poisoning or certain other consequences of external causes	Equivalent	0
Block	1	S00-S09	XIX	Injuries to the head	http://id.who.int/icd/entity/452386362	Injuries to the head	Equivalent	0
Category	1	S00	XIX	Superficial injury of head	http://id.who.int/icd/entity/103374449	Superficial injury of head	Equivalent	0
Category	2	S00.0	XIX	Superficial injury of scalp	http://id.who.int/icd/entity/2055653544	Superficial injury of scalp	Equivalent	0
Category	2	S00.1	XIX	Contusion of eyelid and periocular area	http://id.who.int/icd/entity/533529906	Contusion of eyelid or periocular area	Equivalent	0
Category	2	S00.2	XIX	Other superficial injuries of eyelid and periocular area	http://id.who.int/icd/entity/1801475533	Other superficial injuries of eyelid or periocular area	Equivalent	0
Category	2	S00.3	XIX	Superficial injury of nose	http://id.who.int/icd/entity/237738073	Superficial injury of nose	Equivalent	0
Category	2	S00.4	XIX	Superficial injury of ear	http://id.who.int/icd/entity/2110065613	Superficial injury of ear	Equivalent	0
Category	2	S00.5	XIX	Superficial injury of lip and oral cavity	http://id.who.int/icd/entity/412010073	Superficial injury of lip or oral cavity	Equivalent	0
Category	2	S00.7	XIX	Multiple superficial injuries of head	http://id.who.int/icd/entity/157834036	Multiple superficial injuries of head	Equivalent	0
Category	2	S00.8	XIX	Superficial injury of other parts of head	http://id.who.int/icd/entity/103374449	Superficial injury of head	Subclass	-1
Category	2	S00.9	XIX	Superficial injury of head, part unspecified	http://id.who.int/icd/entity/103374449	Superficial injury of head	Subclass	-1
Category	1	S01	XIX	Open wound of head	http://id.who.int/icd/entity/1667404773	Open wound of head	Equivalent	0
Category	2	S01.0	XIX	Open wound of scalp	http://id.who.int/icd/entity/1719533607	Open wound of scalp	Equivalent	0
Category	2	S01.1	XIX	Open wound of eyelid and periocular area	http://id.who.int/icd/entity/53857715	Open wound of eyelid or periocular area	Equivalent	0
Category	2	S01.2	XIX	Open wound of nose	http://id.who.int/icd/entity/2006490446	Open wound of nose	Equivalent	0
Category	2	S01.3	XIX	Open wound of ear	http://id.who.int/icd/entity/315838680	Open wound of ear	Equivalent	0
Category	2	S01.4	XIX	Open wound of cheek and temporomandibular area	http://id.who.int/icd/entity/1631437644	Open wound of cheek or temporomandibular area	Equivalent	0
Category	2	S01.5	XIX	Open wound of lip and oral cavity	http://id.who.int/icd/entity/74845914	Open wound of lip or oral cavity	Equivalent	0
Category	2	S01.7	XIX	Multiple open wounds of head	http://id.who.int/icd/entity/361796531	Multiple open wounds of head	Equivalent	0
Category	2	S01.8	XIX	Open wound of other parts of head	http://id.who.int/icd/entity/1761183473	Open wound of other parts of head	Equivalent	0
Category	2	S01.9	XIX	Open wound of head, part unspecified	http://id.who.int/icd/entity/1667404773	Open wound of head	Subclass	-1
Category	1	S02	XIX	Fracture of skull and facial bones	http://id.who.int/icd/entity/399491868	Fracture of skull or facial bones	Equivalent	0
Category	2	S02.0	XIX	Fracture of vault of skull	http://id.who.int/icd/entity/1744412697	Fracture of vault of skull	Equivalent	0
Category	2	S02.1	XIX	Fracture of base of skull	http://id.who.int/icd/entity/45247885	Fracture of base of skull	Equivalent	0
Category	2	S02.2	XIX	Fracture of nasal bones	http://id.who.int/icd/entity/1981758834	Fracture of nasal bones	Equivalent	0
